ID_REGIAO;ID_UF;ID_AREA;IN_PUBLICA;ID_LOCALIZACAO;IN_PREENCHIMENTO_LP;IN_PREENCHIMENTO_MT;PROFICIENCIA_MT;PROFICIENCIA_LP
4;41;2;1;1;1;0;;-0.097223
4;41;2;1;1;0;1;0.205257;
4;41;2;1;1;1;0;;-1.605708
4;41;2;1;1;1;1;0.413408;1.465529
4;41;2;1;1;1;1;0.234631;0.954802
4;41;2;1;1;1;0;;0.726718
4;41;2;1;1;1;1;0.218012;-0.137022
4;41;2;1;1;1;1;0.153064;0.55612
4;41;2;1;1;1;1;0.874821;0.672962
4;41;2;1;1;1;1;-0.078041;0.364488
4;41;2;1;1;1;1;0.614492;1.150061
4;41;2;1;1;1;1;-0.579451;-0.301784
4;41;2;1;1;1;1;-0.515035;-0.428077
4;41;2;1;1;1;1;0.352357;0.348071
4;41;2;1;1;1;1;0.74702;0.635824
4;41;2;1;1;1;1;0.278318;0.911826
4;41;2;1;1;1;1;-0.930877;-0.499695
4;41;2;1;1;1;1;-0.331981;-1.570986
4;41;2;1;1;1;1;0.159834;0.135029
4;41;2;1;1;1;1;-0.009791;0.375497
4;41;2;1;1;0;0;;
4;41;2;1;1;1;1;0.809935;1.122838
4;41;2;1;1;1;1;-0.185782;-0.752504
4;41;2;1;1;1;1;-0.708108;-0.92008
4;41;2;1;1;1;1;0.158811;-0.867654
4;41;2;1;1;1;1;0.223604;1.894235
4;41;2;1;1;1;1;-0.157257;0.8219
4;41;2;1;1;1;1;-0.150419;0.568402
4;41;2;1;1;0;0;;
4;41;2;1;1;1;1;0.512456;1.089905
4;41;2;1;1;1;1;0.814951;0.420773
4;41;2;1;1;1;0;;1.023991
4;41;2;1;1;1;1;0.911004;0.76389
4;41;2;1;1;1;1;0.007593;0.00835
4;41;2;1;1;0;0;;
4;41;2;1;1;1;1;-0.579581;0.012993
4;41;2;1;1;1;1;-0.353335;0.323985
4;41;2;1;1;1;1;-0.804113;0.267784
4;41;2;1;1;1;0;;0.917871
4;41;2;1;1;1;1;-0.791831;0.739479
4;41;2;1;1;1;1;-0.110726;-0.207498
4;41;2;1;1;1;1;0.350189;0.214371
4;41;2;1;1;1;1;0.826752;-1.153228
4;41;2;1;1;1;1;0.087804;0.58699
4;41;2;1;1;1;1;0.340123;0.479975
4;41;2;1;1;1;1;-1.072013;-0.554775
4;41;2;1;1;1;1;0.785476;1.299318
4;41;2;1;1;1;1;0.100814;0.739581
4;41;2;1;1;1;1;-0.880507;-0.474475
